party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,6,0,1,168,408
2,6,0,1,168,576
3,6,0,1,168,744
4,3,0,1,69,813
5,3,0,1,69,882
6,2,0,1,52,934
7,2,0,,0,934
0,7,1,1,203,203
1,7,1,1,203,406
2,5,1,1,120,526
3,6,1,1,168,694
4,5,1,1,120,814
5,5,1,1,120,934
6,4,1,,0,934
7,4,1,,0,934
8,2,1,,0,934
9,2,1,,0,934
0,8,2,1,240,240
1,7,2,1,203,443
2,8,2,1,240,683
3,5,2,1,120,803
4,6,2,1,168,971
5,4,2,1,104,1075
6,4,2,,0,1075
7,4,2,,0,1075
8,4,2,,0,1075
9,4,2,,0,1075
10,4,2,,0,1075
11,3,2,,0,1075
12,4,2,,0,1075
13,2,2,,0,1075
0,7,3,1,203,203
1,8,3,1,240,443
2,8,3,1,240,683
3,7,3,1,203,886
4,8,3,1,240,1126
5,5,3,,0,1126
6,6,3,,0,1126
7,5,3,,0,1126
8,5,3,,0,1126
9,5,3,,0,1126
10,6,3,,0,1126
11,3,3,,0,1126
12,4,3,,0,1126
13,4,3,,0,1126
14,4,3,,0,1126
15,2,3,1,52,1178
0,8,4,1,240,240
1,8,4,1,240,480
2,7,4,1,203,683
3,7,4,1,203,886
4,8,4,1,240,1126
5,7,4,,0,1126
6,7,4,,0,1126
7,5,4,,0,1126
8,6,4,,0,1126
9,3,4,,0,1126
10,4,4,,0,1126
11,4,4,,0,1126
12,3,4,,0,1126
13,3,4,,0,1126
14,3,4,,0,1126
15,2,4,1,52,1178
0,7,5,1,203,203
1,7,5,1,203,406
2,8,5,1,240,646
3,8,5,1,240,886
4,5,5,1,120,1006
5,6,5,,0,1006
6,6,5,,0,1006
7,6,5,,0,1006
8,3,5,1,69,1075
9,3,5,,0,1075
10,4,5,,0,1075
11,3,5,,0,1075
12,4,5,,0,1075
13,2,5,,0,1075
14,2,5,,0,1075
0,8,6,1,240,240
1,7,6,1,203,443
2,5,6,1,120,563
3,6,6,1,168,731
4,5,6,1,120,851
5,6,6,1,168,1019
6,6,6,,0,1019
7,5,6,,0,1019
8,3,6,,0,1019
9,4,6,,0,1019
10,4,6,,0,1019
11,4,6,,0,1019
