party i,size of Party i,timeslot k,seated (binary),added revenue,cum. revenue
0,8,0,1,240,240
1,8,0,1,240,480
2,6,0,1,168,648
3,6,0,1,168,816
4,4,0,1,104,920
5,4,0,1,104,1024
6,4,0,,0,1024
7,3,0,,0,1024
8,2,0,1,52,1076
9,2,0,,0,1076
0,8,1,1,240,240
1,8,1,1,240,480
2,7,1,1,203,683
3,8,1,1,240,923
4,6,1,1,168,1091
5,5,1,,0,1091
6,5,1,,0,1091
7,3,1,1,69,1160
8,4,1,,0,1160
9,3,1,,0,1160
0,7,2,1,203,203
1,7,2,1,203,406
2,8,2,1,240,646
3,8,2,1,240,886
4,7,2,1,203,1089
5,6,2,,0,1089
6,5,2,,0,1089
7,5,2,,0,1089
8,6,2,,0,1089
9,5,2,,0,1089
10,3,2,,0,1089
11,2,2,1,52,1141
0,8,3,1,240,240
1,8,3,1,240,480
2,8,3,1,240,720
3,7,3,1,203,923
4,6,3,1,168,1091
5,6,3,,0,1091
6,6,3,,0,1091
7,5,3,,0,1091
8,3,3,1,69,1160
9,4,3,,0,1160
10,4,3,,0,1160
11,3,3,,0,1160
12,4,3,,0,1160
13,2,3,,0,1160
14,2,3,,0,1160
0,8,4,1,240,240
1,8,4,1,240,480
2,8,4,1,240,720
3,7,4,1,203,923
4,7,4,1,203,1126
5,8,4,,0,1126
6,5,4,,0,1126
7,5,4,,0,1126
8,5,4,,0,1126
9,5,4,,0,1126
10,4,4,,0,1126
11,3,4,,0,1126
12,2,4,1,52,1178
13,2,4,,0,1178
14,2,4,,0,1178
15,2,4,,0,1178
0,8,5,1,240,240
1,8,5,1,240,480
2,7,5,1,203,683
3,8,5,1,240,923
4,8,5,1,240,1163
5,5,5,,0,1163
6,6,5,,0,1163
7,6,5,,0,1163
8,5,5,,0,1163
9,4,5,,0,1163
10,3,5,,0,1163
11,4,5,,0,1163
12,4,5,,0,1163
13,2,5,1,52,1215
14,2,5,,0,1215
0,8,6,1,240,240
1,8,6,1,240,480
2,7,6,1,203,683
3,7,6,1,203,886
4,5,6,1,120,1006
5,6,6,,0,1006
6,5,6,,0,1006
7,4,6,1,104,1110
8,4,6,,0,1110
9,2,6,,0,1110
