Incumbent 0
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,1
2,0,6,1
3,0,5,1
4,0,3,1
5,0,4,1
6,0,3,0
7,0,4,1
8,0,4,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
5,1,5,0
6,1,3,1
7,1,4,1
8,1,2,0
9,1,2,0
Timeslot 3
0,2,8,10
1,2,8,1
2,2,7,1
3,2,7,10
4,2,5,0
5,2,5,0
6,2,6,1
7,2,4,1
8,2,4,0
9,2,3,0
10,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,6,1
3,3,5,1
4,3,6,0
5,3,6,1
6,3,3,0
7,3,3,1
8,3,3,1
9,3,4,0
10,3,2,1
11,3,2,0
12,3,2,0
13,3,2,0
14,3,2,1
Timeslot 5
0,4,7,0
1,4,7,1
2,4,7,0
3,4,5,0
4,4,5,1
5,4,3,1
6,4,4,0
7,4,3,0
8,4,3,1
9,4,2,0
10,4,2,1
11,4,2,1
12,4,2,0
13,4,2,1
Timeslot 6
0,5,7,0
1,5,8,0
2,5,7,1
3,5,7,1
4,5,8,1
5,5,8,0
6,5,6,0
7,5,5,0
8,5,3,1
9,5,4,0
10,5,4,0
11,5,4,0
12,5,4,0
13,5,2,1
14,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,8,1
3,6,8,1
4,6,7,1
5,6,5,0
6,6,6,0
7,6,6,1
8,6,5,1
9,6,3,0
10,6,3,1
Objective Function value: 7235



Incumbent 1
party,timeslot,party_size,seated
Timeslot 1
1,0,7,1
2,0,6,1
3,0,5,1
4,0,3,1
5,0,4,1
7,0,4,1
8,0,4,1
0,0,7,0
6,0,3,0
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
5,1,5,0
6,1,3,1
7,1,4,1
8,1,2,0
9,1,2,0
Timeslot 3
0,2,8,10
1,2,8,1
2,2,7,1
3,2,7,10
4,2,5,0
5,2,5,0
6,2,6,1
7,2,4,1
8,2,4,0
9,2,3,0
10,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,6,1
3,3,5,1
4,3,6,0
5,3,6,1
6,3,3,0
7,3,3,1
8,3,3,1
9,3,4,0
10,3,2,1
11,3,2,0
12,3,2,0
13,3,2,0
14,3,2,1
Timeslot 5
0,4,7,0
1,4,7,1
2,4,7,0
3,4,5,0
4,4,5,1
5,4,3,1
6,4,4,0
7,4,3,0
8,4,3,1
9,4,2,0
10,4,2,1
11,4,2,1
12,4,2,0
13,4,2,1
Timeslot 6
0,5,7,0
1,5,8,0
2,5,7,1
3,5,7,1
4,5,8,1
5,5,8,0
6,5,6,0
7,5,5,0
8,5,3,1
9,5,4,0
10,5,4,0
11,5,4,0
12,5,4,0
13,5,2,1
14,5,2,0
Timeslot 7
0,6,7,0
1,6,7,1
2,6,8,1
3,6,8,1
4,6,7,1
5,6,5,0
6,6,6,0
7,6,6,1
8,6,5,1
9,6,3,0
10,6,3,1
Objective Function value: 1062



Incumbent 2
party,timeslot,party_size,seated
Timeslot 1
0,0,7,0
1,0,7,1
2,0,6,1
3,0,5,1
4,0,3,1
5,0,4,1
6,0,3,0
7,0,4,1
8,0,4,1
Timeslot 2
0,1,8,10
1,1,7,0
2,1,8,1
3,1,7,1
4,1,5,1
5,1,5,0
6,1,3,1
7,1,4,1
8,1,2,0
9,1,2,0
Timeslot 3
0,2,8,10
1,2,8,1
2,2,7,1
3,2,7,10
4,2,5,0
5,2,5,0
6,2,6,1
7,2,4,1
8,2,4,0
9,2,3,0
10,2,4,1
11,2,2,0
12,2,2,0
Timeslot 4
0,3,7,0
1,3,8,0
2,3,6,1
3,3,5,1
4,3,6,0
5,3,6,1
6,3,3,0
7,3,3,1
8,3,3,1
